iter	Passed	Remaining
757	31785	135948
758	31827	135904
759	31870	135867
760	31911	135823
761	31951	135771
762	31993	135729
763	32053	135764
764	32096	135727
765	32154	135755
766	32201	135734
767	32252	135729
768	32303	135723
769	32354	135720
770	32404	135710
771	32454	135701
772	32510	135721
773	32552	135678
774	32594	135635
775	32634	135583
776	32681	135564
777	32721	135512
778	32760	135458
779	32802	135416
780	32844	135375
781	32888	135340
782	32930	135296
783	32969	135242
784	33010	135194
785	33051	135148
786	33093	135106
787	33134	135061
788	33172	135004
789	33212	134953
790	33255	134913
791	33297	134872
792	33340	134835
793	33384	134798
794	33427	134761
795	33469	134720
796	33511	134676
797	33552	134630
798	33593	134582
799	33648	134595
800	33704	134608
801	33752	134587
802	33797	134558
803	33843	134531
804	33885	134487
805	33927	134446
806	33968	134400
807	34010	134359
808	34053	134319
809	34092	134266
810	34136	134231
811	34177	134183
812	34218	134137
813	34263	134107
814	34306	134069
815	34349	134030
816	34394	133999
817	34437	133961
818	34482	133928
819	34528	133904
820	34571	133864
821	34614	133826
822	34661	133801
823	34705	133768
824	34767	133800
825	34814	133778
826	34859	133746
827	34904	133715
828	34948	133681
829	34993	133651
830	35040	133626
831	35081	133581
832	35121	133528
833	35161	133480
834	35203	133436
835	35243	133386
836	35286	133345
837	35329	133308
838	35368	133254
839	35408	133204
840	35450	133162
841	35494	133125
842	35535	133080
843	35577	133037
844	35621	133000
845	35662	132952
846	35710	132934
847	35759	132915
848	35799	132868
849	35841	132824
850	35880	132769
851	35919	132717
852	35959	132665
853	35998	132614
854	36041	132575
855	36082	132526
856	36123	132482
857	36166	132442
858	36208	132397
859	36248	132348
860	36291	132310
861	36331	132258
862	36371	132210
863	36412	132162
864	36453	132118
865	36496	132080
866	36540	132041
867	36579	131991
868	36620	131942
869	36660	131892
870	36700	131845
871	36742	131801
872	36784	131757
873	36824	131706
874	36865	131661
875	36908	131623
876	36948	131574
877	36992	131537
878	37033	131493
879	37076	131453
880	37115	131400
881	37155	131350
882	37195	131299
883	37234	131245
884	37273	131193
885	37319	131164
886	37360	131118
887	37399	131067
888	37443	131031
889	37485	130988
890	37526	130943
891	37568	130901
892	37611	130861
893	37652	130815
894	37695	130777
895	37735	130726
896	37775	130676
897	37815	130627
898	37858	130588
899	37898	130539
900	37940	130496
901	37981	130452
902	38024	130411
903	38063	130360
904	38105	130317
905	38145	130265
906	38189	130231
907	38233	130194
908	38272	130144
909	38314	130099
910	38354	130051
911	38396	130010
912	38439	129969
913	38480	129923
914	38522	129882
915	38562	129831
916	38602	129782
917	38644	129740
918	38685	129696
919	38728	129655
920	38769	129610
921	38811	129567
922	38851	129520
923	38894	129481
924	38935	129433
925	38975	129386
926	39017	129342
927	39059	129301
928	39099	129250
929	39141	129207
930	39183	129165
931	39223	129116
932	39264	129072
933	39306	129029
934	39349	128989
935	39390	128945
936	39432	128901
937	39472	128853
938	39513	128806
939	39552	128755
940	39592	128706
941	39633	128660
942	39672	128610
943	39714	128568
944	39771	128572
945	39814	128532
946	39857	128496
947	39898	128448
948	39937	128396
949	39980	128357
950	40023	128319
951	40063	128271
952	40107	128235
953	40149	128193
954	40192	128153
955	40231	128101
956	40271	128053
957	40310	128000
958	40349	127948
959	40391	127906
960	40433	127862
961	40476	127825
962	40518	127782
963	40560	127741
964	40602	127699
965	40643	127654
966	40684	127606
967	40724	127558
968	40764	127509
969	40807	127469
970	40848	127424
971	40892	127388
972	40946	127385
973	41032	127477
974	41110	127548
975	41159	127526
976	41209	127509
977	41254	127475
978	41301	127447
979	41344	127408
980	41387	127369
981	41445	127374
982	41493	127349
983	41537	127314
984	41590	127303
985	41638	127278
986	41684	127249
987	41729	127216
988	41776	127187
989	41828	127176
990	41878	127155
991	41919	127109
992	41963	127075
993	42011	127050
994	42060	127025
995	42107	126998
996	42147	126950
997	42187	126900
998	42227	126851
999	42267	126803
1000	42308	126756
1001	42355	126728
1002	42399	126692
1003	42444	126655
1004	42489	126622
1005	42529	126572
1006	42571	126529
1007	42612	126484
1008	42653	126438
1009	42693	126391
1010	42737	126351
1011	42776	126301
1012	42817	126254
1013	42862	126220
1014	42909	126193
1015	42952	126153
1016	42997	126118
1017	43047	126096
1018	43092	126062
1019	43138	126032
1020	43183	125998
1021	43227	125960
1022	43272	125924
1023	43318	125893
1024	43365	125865
1025	43409	125828
1026	43455	125796
1027	43503	125770
1028	43547	125733
1029	43594	125705
1030	43639	125669
1031	43684	125634
1032	43724	125587
1033	43764	125538
1034	43808	125498
1035	43847	125447
1036	43888	125402
1037	43930	125358
1038	43971	125313
1039	44013	125270
1040	44055	125225
1041	44098	125184
